FBID	ZT0	ZT4	ZT8	ZT12	ZT16	ZT20
FBtr0070000	0.000470454	0.118461	0	0.191075	0.13336	0.575765
FBtr0307554	5.89243	6.93661	0	4.05211	0	2.02971
FBtr0307555	29.7287	27.6618	32.937	29.6544	35.6094	35.4364
FBtr0070002	0	0	0	0	0	0
FBtr0070003	0	0	0	0	0	0
FBtr0301569	0.108802	4.40356e-05	0.132904	5.05092e-05	0.267684	0.186603
FBtr0343166	2.80363e-05	0.118333	2.8076e-05	0.131984	3.27629e-05	2.85545e-05
FBtr0070029	0	0	0	0	0	0
FBtr0301572	0	0	0.342168	0	0	0
FBtr0070032	0	0	0	0	0	0
FBtr0070035	0	0	0	0	0	0
FBtr0070036	3.2589	2.01546	0.884577	1.06484	1.33611	1.46771
FBtr0070045	17.3654	19.2755	21.6138	18.0278	24.7834	21.5207
FBtr0070046	24.9379	25.3225	29.8945	23.4358	37.3506	24.8851
FBtr0299869	1584.72	1586.51	1481.06	1400.11	1665.3	2430.13
FBtr0299870	172.089	150.309	125.346	136.825	181.467	255.27
FBtr0333910	15.6915	14.5394	16.4538	13.8018	20.3433	15.8614
FBtr0070063	2.51138	1.10334	1.7819	0.89062	1.05944	1.17895
FBtr0332992	7.36094	7.16679	7.24286	7.16907	7.9056	7.34071
FBtr0070064	17.1109	11.0966	2.08453	9.86332	0.000408931	0.0568746
FBtr0070065	10.2192	12.9206	18.3031	11.2103	22.7312	20.6508
FBtr0070066	1.23862	1.68642	1.66618	1.78355	1.04168	2.15345
FBtr0070067	0	0.00235581	0.00257815	0.00211322	0.00134491	0.002205
FBtr0070068	0.990536	0	0	0	0	0
FBtr0342962	0	0	0	0	0	0.0618261
FBtr0344149	0	1.72002	0	0	0	0
FBtr0070069	0.985338	1.12033	0.690068	0.454466	0.926555	1.19244
FBtr0070070	2.20622	2.15902	2.93945	1.671	1.11002	0.937961
FBtr0070071	0.511933	1.0653	0.764974	0.660148	1.15962	0.982675
FBtr0070072	0	0	0	0	0	0
FBtr0070073	0	0.0703139	0	0.039262	0	0.0374493
FBtr0070074	0	0	0	0	0	0
FBtr0070075	0	0	0	0	0	0
FBtr0070076	0	0	0.647514	0.332958	0.309631	0.664727
FBtr0112947	0.728925	0.925352	0.39016	1.21314	0.920791	1.00126
FBtr0070077	0.858509	0.262856	0.2739	0.586298	0.919529	1.11876
FBtr0336919	0	0	0	0	0	0
FBtr0300328	1.0783	0	0	0	0	0
FBtr0070078	0	0	0	0	0	0
FBtr0336920	0.174278	0	8.64421e-06	0.194142	0	0
FBtr0336921	0	0	0	0	0	0
FBtr0343501	1.50275	1.53138	1.06418	0.985514	1.57168	1.19526
FBtr0070079	6.53154	6.65298	4.54576	5.54279	5.36515	5.3539
FBtr0070080	14.9091	16.5751	17.9135	12.7871	16.7076	13.8443
FBtr0340145	3.09178	0.194755	0.4061	0	0	0.827189
FBtr0070088	1.80459	1.71117	2.04493	2.18791	2.27799	3.1983
FBtr0070092	51.2446	45.9367	45.4006	45.2005	57.9026	66.51
FBtr0070093	7.81984	4.46912	3.52149	1.84642	2.28149	4.59421
FBtr0070094	5.07847	5.48186	3.94081	4.29877	5.08524	4.48207
FBtr0070099	0.881188	0.0627838	0.588995	0.653611	0.08789	0
FBtr0070100	0	0	0	0	0	0
FBtr0070101	0.00260199	2.90613	2.4223	3.26534	2.36931	3.07836
FBtr0070102	3.81461	0	0	0	0	0
FBtr0273442	0	0.541772	0	0	0.56496	0
FBtr0273443	0	0	0	0	0.855167	0
FBtr0344150	0	0	0.720108	0	0.0730319	0.281828
FBtr0344151	0	0	0	0	0	0
FBtr0070103	0.372223	0.255452	0.188053	0.0707767	0.0725265	0.0617042
FBtr0300326	31.7352	31.7867	31.4099	28.4512	32.583	30.5605
FBtr0342963	0	0	0	0	0	0.0476146
FBtr0070107	0	0	0.155289	1.09726	0	0
FBtr0070108	4.38194	3.95292	4.26956	3.31848	4.4943	3.59594
FBtr0340207	1.00601	0.334668	0	0	0.000749926	1.10889
FBtr0070109	0	0	0	0	0	0
FBtr0307291	46.174	47.0002	47.6412	38.1227	43.7781	33.8393
FBtr0307292	0	0	0	0	0	0
FBtr0307293	3.88637	4.88372	3.25476	2.86002	4.03403	3.75487
FBtr0307294	141.216	131.835	121.917	108.606	114.088	99.1596
FBtr0307295	10.9702	9.38809	8.09858	8.40294	3.73285	9.91156
FBtr0070115	5.94417	5.22402	4.56111	6.72315	6.18632	7.03326
FBtr0070116	0.000275818	4.98932e-05	1.52062	0.000272966	0.00031293	0.000222819
FBtr0070117	0	0.000342205	4.00639e-05	0	0	3.80954e-05
FBtr0070118	3.02422	3.04986	1.45492	2.84296	3.75019	3.6868
FBtr0070119	2.78774	2.0625	1.45933	1.65911	2.11677	2.07544
FBtr0070120	3.68705	2.89929	3.16424	3.52416	3.97669	3.41583
FBtr0340081	0.000409222	0.000139492	0.000253531	0.000217285	0.000119601	0.000163101
FBtr0340082	0.941133	1.39203	1.18915	0.342823	0.65411	1.70476
FBtr0070121	5.06205	3.86849	3.46117	3.23611	6.13589	3.70562
FBtr0308651	0	0	0.920955	1.32546	1.75903	0.386325
FBtr0070122	21.8	19.9801	6.60167	21.0279	4.69209	25.1115
FBtr0343564	17.9242	16.0131	23.0036	15.4835	22.123	16.7143
FBtr0070134	8.79717	8.69774	9.14755	8.43585	7.40944	7.15547
FBtr0343759	0	0	0.435186	0	0	0
FBtr0070135	92.8301	125.615	87.7348	114.112	121.101	125.066
FBtr0070136	100.678	92.1192	74.0537	74.0407	56.2201	193.765
FBtr0070137	19.7891	21.0987	14.291	20.9823	15.6357	20.0429
FBtr0070138	1.00638	0.86867	0.8433	1.11314	1.41549	0.925326
FBtr0112928	0.191597	0.424683	0.0761482	1.10788e-05	0.000381679	0
FBtr0345511	0.198075	0.278899	0.243345	0	0.246631	0.0464049
FBtr0070140	6.66785	6.93778	6.91273	6.17661	6.20978	9.02925
FBtr0343325	4.02096	4.3356	3.60596	4.21951	3.05113	4.60353
FBtr0070142	0	0	0	0	0	0
FBtr0290198	0.121085	0	0.0739501	0.0395643	0.0992868	0.226522
FBtr0070145	0	0.0543261	0	0	0	0
FBtr0070146	5.95005	6.24703	5.84865	5.39257	6.3746	5.71453
FBtr0070147	33.3889	32.3525	26.3516	34.9434	26.9584	24.1995
FBtr0070148	1155.34	1003.7	1447.14	834.219	1708.77	749.939
FBtr0070149	0.10887	0.0318832	0	0	0.0892509	0
FBtr0070150	0	0	0	0	0	0.0935684
FBtr0070151	9.74871	8.76479	8.75017	8.84303	9.34781	8.96591
FBtr0308652	0.715231	0.269001	0.322117	0.242964	0.187875	0.188261
FBtr0070155	1041.26	1018.24	957.202	804.409	748.238	1092.45
FBtr0070156	306.385	321.626	217.885	240.256	179.49	251.361
FBtr0070157	10.865	14.1859	3.49261	18.655	6.92591	9.10758
FBtr0070158	27.6254	29.3991	24.5107	20.617	15.2553	27.4025
FBtr0345321	417.568	196.422	454.875	165.034	672.827	252.427
FBtr0070159	193.554	171.974	104.488	124.315	107.26	181.545
FBtr0070160	7.80531	8.90298	7.15037	6.18599	7.96614	8.69901
FBtr0070161	7.08436	2.19303	0.68113	1.92133	3.75005	1.49939
FBtr0110791	0.900923	0.699053	1.19628	1.68127	0.600806	1.43971
FBtr0339430	0.690702	0.70728	0.906617	0.74158	1.0999	0.54758
FBtr0339431	0.00163925	0.00459908	1.14032	0.00025409	0.00739493	0.00376128
FBtr0339432	5.57899	5.05364	5.88858	5.16709	8.12555	8.19335
FBtr0339433	0.19347	0.905073	0.117976	0.00251434	1.31444	0.715977
FBtr0339434	0	0	0.0432431	0	0.0515971	0.170956
FBtr0110804	0	0	0	0	0	0
FBtr0070163	0	0	0	0	0	0
FBtr0070164	0	0	0	0	0	0
FBtr0310165	0	0	0	0	0	0
FBtr0070165	12.8346	14.9672	13.9057	11.7342	16.6967	14.1985
FBtr0307181	7.0915	7.36332	6.42646	6.12978	6.01876	6.31676
FBtr0345512	0.0750511	0.395828	0.206368	0.514867	0.0923571	0.421182
FBtr0070167	0.175272	0.106927	0.326306	0.233325	0.574707	0.45123
FBtr0070168	0	0.252564	0.00937909	0.566825	0.0036413	0.00153227
FBtr0070169	0.11943	0.700826	0.121806	0.241786	0.327621	0.386979
FBtr0307182	21.4029	14.2178	18.6381	18.6955	13.3282	18.4342
FBtr0332589	4.39152	10.3105	4.04359	5.16455	8.6775	2.38344
FBtr0070170	0.658421	0.645419	0.90476	0.968118	1.2459	0.900126
FBtr0070171	0	0.0933282	0.0972833	0	0	0
FBtr0070172	0	0	0	0	0	0
FBtr0070173	4.12709	4.27343	4.08031	3.84545	4.92533	4.47192
FBtr0070179	136.382	149.379	150.756	175.287	211.276	259.226
FBtr0070180	0.171838	0	0	0	0	0
FBtr0070181	0.0689401	0.0620519	0	0.0749555	0	0.0647215
FBtr0113327	0.630154	1.58976	2.22425	0.891538	1.85416	1.18257
FBtr0331340	22.1205	18.1819	12.4072	16.2877	9.72466	21.1125
FBtr0070182	6.02253	5.5305	3.80578	4.89162	4.41424	6.00125
FBtr0070183	40.5687	42.8629	40.9354	40.7361	40.8291	39.6703
FBtr0070184	0	0.333288	0	0	0	0.177364
FBtr0070185	0	0	0	0.0259065	0	0
FBtr0342734	0	0	0	3.53217e-06	0	0
FBtr0070186	4.57621	10.5657	22.169	37.8631	28.0474	23.8693
FBtr0070187	8.77536	7.44692	8.01928	7.86225	7.63756	9.88226
FBtr0070188	9.67826	9.03525	5.10581	8.67492	7.54993	11.8709
FBtr0070189	0.036818	0	0	0	0	0
FBtr0331301	0	0	0	0	0	0
FBtr0070195	4.02945	3.98375	2.94141	3.82644	1.93588	2.35549
FBtr0310459	0	0	0	0	0	0.30985
FBtr0336688	0.450132	0.817035	0.56499	0.369658	0.507913	0.289104
FBtr0070197	3.46756	1.27553	1.67154	1.39994	1.88545	2.17253
FBtr0310611	0.200427	0.0879834	0	0.195731	0.246129	0.374584
FBtr0345513	0.770589	0.713157	0.930883	0.286923	0.889372	0.766742
FBtr0070198	0	0	0	0	0	0
FBtr0342727	0	0	0	0	0	0
FBtr0070199	0.0804918	0	0	0	0	0
FBtr0310612	3.1276e-05	0	0	0	0	0.135835
FBtr0070200	0.653248	0.215289	0.149609	0.120064	0.200867	0.190949
FBtr0070201	1.36959e-06	0.0693795	0.0179817	4.98952e-06	3.38648e-06	0.110823
FBtr0345506	0.057094	0.000112926	0.000123987	0.0932739	0.09363	0.000123366
FBtr0070202	0.14566	0.0914375	0.0571875	0.0815895	0	0.214103
FBtr0070203	0	0	0	0	0.0434112	0
FBtr0070204	0	0	0	0	0	0
FBtr0070205	0	0	0	0	0	0
FBtr0342728	0	0	0	0	0	0
FBtr0070206	0	0	0	0.0787218	0.0979954	0
FBtr0342729	0.190569	0.446617	0.174579	0.356866	0.0585251	0.118837
FBtr0070207	0.0232674	0.0613456	0.0568402	0.0380129	0.114472	0.021764
FBtr0070209	12.3592	12.7059	12.7585	11.9794	13.0175	12.0998
FBtr0310619	0	0	0	0	0	0
FBtr0070211	0	0	0	0	0.227955	0.115605
FBtr0303284	0.0697951	0.245372	0.191816	0.136835	0	0
FBtr0070212	2.97904	3.83092	2.4682	3.45698	2.61337	4.69205
FBtr0070213	0.101199	0.177876	0	0	0	0.189319
FBtr0070215	0	0	0	0	0	0
FBtr0339772	1.40181	0.831249	0.725207	1.44706	0	0.556265
FBtr0339773	17.8034	22.2633	0.00250636	24.1241	0	27.9689
FBtr0339774	54.2047	49.9825	56.175	40.4379	53.5949	40.3825
FBtr0070216	21.7023	32.3198	16.3612	29.478	10.0192	29.3555
FBtr0070217	2.61282	2.29518	3.19015	2.13354	1.07153	2.88684
FBtr0070218	36.1359	33.6154	42.4284	32.1028	47.4711	34.8612
FBtr0070219	0.269865	0	0.212964	0.610062	0.213569	0
FBtr0070222	0	0	0	0	0	0.00534155
FBtr0342735	8.86087e-05	2.26748	0.612077	2.0784	2.57324	2.06639
FBtr0342736	3.12476	1.40997	3.90567	1.7494	2.88874	2.4408
