FBID	ZT0	ZT4	ZT8	ZT12	ZT16	ZT20
FBtr0070000	0	0.0057864	0.000722124	0	0	0
FBtr0307554	4.0061	13.0324	6.39124	0.740754	6.61726	1.41872
FBtr0307555	27.7416	23.3513	26.1066	30.871	29.0377	34.6572
FBtr0070002	0	0	0	0	0	0
FBtr0070003	0	0	0	0	0	0
FBtr0301569	0.0766355	0.105318	0.0611305	0.0178402	0	0.061562
FBtr0343166	3.08679e-05	2.9236e-05	2.46227e-05	2.74447e-05	0	3.33979e-05
FBtr0070029	0	0.0497407	0	0	0	0
FBtr0301572	0	0	0	0	0	0
FBtr0070032	0	0	0	0	0	0
FBtr0070035	0.16904	0	0	0	0	0
FBtr0070036	6.88734	2.80409	3.05216	5.35095	4.35584	3.55237
FBtr0070045	16.8014	17.779	17.6637	24.4226	17.4139	25.9884
FBtr0070046	23.0084	18.3767	21.4621	26.3202	20.2146	26.5972
FBtr0299869	2164.82	1668.38	1525.68	1650.57	1726.35	2597.55
FBtr0299870	206.376	188.761	153.122	146.973	204.766	248.702
FBtr0333910	17.58	16.834	17.1109	24.8724	18.4273	25.0347
FBtr0070063	3.23146	4.29396	2.57534	2.41951	2.18488	2.50315
FBtr0332992	6.95306	4.91586	5.69665	5.89412	5.75063	5.98671
FBtr0070064	0.536181	7.62943	3.60657	7.08406	0.00654295	0.00054208
FBtr0070065	25.391	16.9329	18.8287	13.987	22.7728	20.9202
FBtr0070066	1.78683	3.02245	1.01732	0.493336	1.1314	2.82367
FBtr0070067	0.00185486	0.00257031	0.00192002	0.00174473	0.00206482	0.00275715
FBtr0070068	0	0	0	0	0	0
FBtr0342962	0.0693684	0	0	0	0	0
FBtr0344149	0	0	0	0	0	0
FBtr0070069	1.04098	0.78527	0.439613	1.14175	0.621755	0.459184
FBtr0070070	1.11262	1.74713	1.22556	1.18546	0.586869	0.908077
FBtr0070071	1.39478	0.886548	0.635764	0.530773	0.262766	0.8233
FBtr0070072	0	0	0	0	0	0
FBtr0070073	0	0	0	0	0	0.0453127
FBtr0070074	0	0	0	0	0.0539406	0
FBtr0070075	0	0	0	0	0	0
FBtr0070076	0.323244	0.198366	0	0.323533	1.25974	0
FBtr0112947	1.5961	1.23526	1.36535	0.670484	1.48945	1.10017
FBtr0070077	0.473969	0.144774	0.378065	0	0.583387	0.169263
FBtr0336919	0	0	0	0	0	0
FBtr0300328	0	0	0	0	0	0
FBtr0070078	0	0	0	0	0	0
FBtr0336920	0.624193	0	0	0.334657	0	0
FBtr0336921	0	0	0	0	0	0
FBtr0343501	0.000612588	1.91162	1.46876	0.455184	2.49268	1.84096
FBtr0070079	5.53612	7.48424	5.50547	4.25189	6.6182	5.38188
FBtr0070080	10.7272	9.41543	14.4033	13.0989	9.20077	12.1165
FBtr0340145	1.40322	1.07096	0	0.654185	0	1.00115
FBtr0070088	2.86038	1.56296	1.72125	1.02927	1.9454	2.41905
FBtr0070092	64.2057	59.1989	59.4151	61.0947	54.0012	64.0035
FBtr0070093	4.90739	5.26863	3.15863	1.87867	3.69323	2.84199
FBtr0070094	5.9725	5.9107	5.00587	5.16797	5.31463	6.60088
FBtr0070099	0.251663	0.0691578	0.301094	0.516134	0.464549	1.29388
FBtr0070100	0	0	0	0	0	0
FBtr0070101	0	1.24124	1.11321	1.25822	1.45232	2.37439
FBtr0070102	0	0	0	0.890811	0	0
FBtr0273442	0	0	0.213741	0	0.950044	0
FBtr0273443	1.07135	0	0	0	0	0
FBtr0344150	1.05448	1.17262	0.639495	0	0	0
FBtr0344151	1.00683	0	0	0	0	0
FBtr0070103	0.426288	0.313971	0	0.0666638	0.0712376	0.157008
FBtr0300326	19.8933	19.4366	20.5657	20.8434	20.127	24.642
FBtr0342963	0	0.0647674	0	0	0.0519392	0
FBtr0070107	0	0	0.5405	0.258943	0.00604309	0.247331
FBtr0070108	4.10097	4.69603	3.63888	3.70897	1.7637	3.11362
FBtr0340207	0.000110207	0	0	9.83893e-05	2.11458	0.818255
FBtr0070109	0	0	0	0	0	0
FBtr0307291	42.1917	47.8534	40.9286	42.8266	34.8142	33.185
FBtr0307292	0	0	0	0	0	0
FBtr0307293	5.79306	4.81371	7.22784	4.17673	3.06988	4.77527
FBtr0307294	141.123	117.134	111.567	103.517	100.753	90.7505
FBtr0307295	8.13797	8.31853	8.79731	4.43117	6.53628	6.81404
FBtr0070115	9.23389	10.0325	8.17933	6.00617	8.67175	5.8085
FBtr0070116	0.000158975	0.000278581	0.000228078	3.23693	0.000302229	0.000317444
FBtr0070117	0.000149936	0	0	0	1.61115	0
FBtr0070118	3.95537	3.67135	3.84472	0.575115	2.49754	3.31109
FBtr0070119	3.53195	2.89129	2.32582	2.18591	3.5514	2.97855
FBtr0070120	4.19792	3.10574	3.816	3.615	3.65497	4.21774
FBtr0340081	0.84626	0	0.00014579	7.68279e-05	0.552935	0.000177701
FBtr0340082	1.3352	1.69035	0.879613	0.519186	0.632062	1.74822
FBtr0070121	5.85295	4.15438	4.57602	5.31221	5.5813	5.19032
FBtr0308651	0.906279	0	0.653122	0.467895	0.423784	0
FBtr0070122	35.369	36.4583	25.0498	24.0633	32.8672	29.0622
FBtr0343564	21.7343	13.8657	17.6578	19.4592	16.7138	18.2279
FBtr0070134	14.1513	9.53379	8.41272	9.58281	10.0664	9.30871
