Cluster-1	total=29	enrichmentScore=3.0701007774592215	phaseStdDev=2.005629377762261	"Mitochondrion,Transit peptide,MitochondrionAnnotation Cluster 1"	Enrichment Score: 3.0701007774592215								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Mitochondrion	29	4.178674352	1.24E-04	-1.895089	2.005629378	"FBtr0073434, FBtr0073151, FBtr0343147, FBtr0331384, FBtr0084577, FBtr0084399, FBtr0086156, FBtr0334890, FBtr0084172, FBtr0331227, FBtr0074330, FBtr0084272, FBtr0079128, FBtr0070459, FBtr0074971, FBtr0273393, FBtr0071168, FBtr0301812, FBtr0301238, FBtr0073482, FBtr0087675, FBtr0085694, FBtr0087594, FBtr0075672, FBtr0290024, FBtr0339954, FBtr0076822, FBtr0079218, FBtr0071676"	694	263	13921	2.211837477	0.030739375	0.014739228
UP_KEYWORDS	Transit peptide	19	2.737752161	4.02E-04	-1.792826105	0.941711386	"FBtr0073434, FBtr0071168, FBtr0301238, FBtr0073151, FBtr0331384, FBtr0084577, FBtr0086156, FBtr0087675, FBtr0334890, FBtr0087594, FBtr0331227, FBtr0084172, FBtr0084272, FBtr0079128, FBtr0074330, FBtr0070459, FBtr0074971, FBtr0339954, FBtr0076822"	694	148	13921	2.575151881	0.096086804	0.01796159
UP_SEQ_FEATURE	transit peptide:Mitochondrion	15	2.161383285	0.012310812	-1.844731467	1.035871097	"FBtr0073434, FBtr0071168, FBtr0073151, FBtr0084577, FBtr0086156, FBtr0087675, FBtr0334890, FBtr0087594, FBtr0331227, FBtr0084172, FBtr0084272, FBtr0074330, FBtr0070459, FBtr0339954, FBtr0076822"	196	116	3113	2.053791344	0.999321802	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0071676	Tim10-RA	1.32666	0.02813	23.9	FlyBase Tim10-RA	Figure for Tim10-RA							
FBtr0087594	PheRS-m-RA	1.817156	0.008018	22.5	FlyBase PheRS-m-RA	Figure for PheRS-m-RA							
FBtr0074971	CG14100-RA	2.669707	0.005379	22.1	FlyBase CG14100-RA	Figure for CG14100-RA							
FBtr0071168	Trxr-1-RB	1.093512	0.03296	21.8	FlyBase Trxr-1-RB	Figure for Trxr-1-RB							
FBtr0084577	mRpS24-RA	1.347057	0.014377	22.7	FlyBase mRpS24-RA	Figure for mRpS24-RA							
FBtr0084272	mRpL45-RA	1.287993	0.014377	20.9	FlyBase mRpL45-RA	Figure for mRpL45-RA							
FBtr0339954	CG16935-RB	1.030511	0.014377	22.4	FlyBase CG16935-RB	Figure for CG16935-RB							
FBtr0084399	fzo-RA	1.09296	0.041225	15.2	FlyBase fzo-RA	Figure for fzo-RA							
FBtr0273393	ND-B17.2-RB	3.847776	0	23	FlyBase ND-B17.2-RB	Figure for ND-B17.2-RB							
FBtr0290024	CG7394-RB	0.539361	NOTEST	20.6	FlyBase CG7394-RB	Figure for CG7394-RB							
FBtr0074330	mRpL22-RA	2.493805	0.005379	22.8	FlyBase mRpL22-RA	Figure for mRpL22-RA							
FBtr0086156	SdhB-RA	0.68163	0.014377	22.2	FlyBase SdhB-RA	Figure for SdhB-RA							
FBtr0076822	CG7506-RA	0.881652	0.03296	21.2	FlyBase CG7506-RA	Figure for CG7506-RA							
FBtr0343147	Tim9a-RB	1.499948	0.018529	22.4	FlyBase Tim9a-RB	Figure for Tim9a-RB							
FBtr0301238	CG9249-RB	0.920443	0.031953	22	FlyBase CG9249-RB	Figure for CG9249-RB							
FBtr0331227	mRpL28-RB	2.687763	0.005379	22.4	FlyBase mRpL28-RB	Figure for mRpL28-RB							
FBtr0073151	Scsalpha-RA	0.497077	0.048636	20.5	FlyBase Scsalpha-RA	Figure for Scsalpha-RA							
FBtr0073482	Tim8-RA	0.924762	0.051533	23.4	FlyBase Tim8-RA	Figure for Tim8-RA							
FBtr0075672	mRpL39-RA	0.545467	0.046925	19.7	FlyBase mRpL39-RA	Figure for mRpL39-RA							
FBtr0301812	CG41128-RB	0.012339	0.044794	19.9	FlyBase CG41128-RB	Figure for CG41128-RB							
FBtr0334890	COX5A-RC	0.733328	0.008018	0.5	FlyBase COX5A-RC	Figure for COX5A-RC							
FBtr0331384	CG14806-RB	0.820181	0.034536	22.6	FlyBase CG14806-RB	Figure for CG14806-RB							
FBtr0079218	slmo-RB	0.526914	0.046447	23.1	FlyBase slmo-RB	Figure for slmo-RB							
FBtr0079128	CG7277-RA	1.055386	0.017597	22.9	FlyBase CG7277-RA	Figure for CG7277-RA							
FBtr0087675	Roe1-RA	1.384759	0.02585	21.5	FlyBase Roe1-RA	Figure for Roe1-RA							
FBtr0073434	Hsp60A-RA	0.612212	0.040599	23.7	FlyBase Hsp60A-RA	Figure for Hsp60A-RA							
FBtr0084172	ND-42-RA	0.973126	0.024683	21	FlyBase ND-42-RA	Figure for ND-42-RA							
FBtr0070459	tko-RB	2.028025	0.011589	22.1	FlyBase tko-RB	Figure for tko-RB							
FBtr0085694	aralar1-RA	2.616683	0.013115	3.9	FlyBase aralar1-RA	Figure for aralar1-RA							
													
