#transcriptID	transcriptSymbol
FBtr0076750	Srp9-RA
FBtr0082403	RpL24-like-RA
FBtr0089318	mRpL13-RA
FBtr0085247	mRpS22-RA
FBtr0339964	eIF3m-RB
FBtr0072776	mRpL46-RA
FBtr0071860	bonsai-RA
FBtr0088425	RpLP0-like-RA
FBtr0081766	mRpS9-RA
FBtr0346158	RpS8-RF
FBtr0075897	mRpL20-RA
FBtr0301626	mRpS35-RA
FBtr0083053	mRpS10-RA
FBtr0079058	mRpL24-RA
FBtr0081832	mRpL1-RA
FBtr0070682	mRpL30-RA
FBtr0089894	mRpS11-RA
FBtr0302273	mRpL37-RB
FBtr0082384	mRpL40-RA
FBtr0082747	Dic1-RB
FBtr0082121	mRpL47-RB
FBtr0072437	CG12848-RA
FBtr0111011	mRpL34-RA
FBtr0086714	mRpS28-RA
FBtr0339970	RpS23-RB
FBtr0310444	CG1628-RC
FBtr0078227	mRpL15-RA
FBtr0299869	RpL10-RC
FBtr0079696	mRpL51-RA
FBtr0072277	mRpS17-RA
